EventName,EventDescription,EventStartTime,EventEndTime,EventCategoryName,EventLocation
"
Global Sports Wellness & Physiotherapy Summit
","Turkey Health and Sports Forum çatısı altında 12 Mayıs tarihinde İstanbul’da!Global Sports Wellness and Physiotherapy Summit adı altında 1. derece tarihi eser olarak tescillenen ve Fashion Week’e ev sahipliği yapan Cercled’Orient binasında Grand Pera Beyoğlu’nda büyük bir zirve gerçekleşecektir. Grand Pera aynı zamanda Türkiye’de ilk defa açılan MadameTussauds Müzesi’ni de bünyesinde barındırmaktadır.Turkey Health & Sports Forum çatısı altında bu yıl Türkiye’de alanında ilk defa gerçekleşecek olan ‘’Global Sports Wellness and Physiotherapy’’ konulu forum tüm sektörel paydaşları buluşturuyor. Sektörün en değerli isimlerinin bir araya geleceği bu etkinlikte birbirinden önemli ve bilimsel konulara değinilecektir.Global Sports Wellness and Physiotherapy Summit, sektörün aktif ve sağlıklı yaşam tarzlarının geliştirilmesine ve büyümesine katkı sağlamak için oluşturulmuş bir projedir. Aynı zamanda sporun ekonomik ve sosyal potensiyelini ortaya çıkartmak için büyük bir fırsattır.Katılımcılara birçok sürpriz sunacaktır!*Uluslararası Sertifika*Deloitte 2018 Sağlık Raporu *Hediyeler, İkramlave daha bir çok sürpriz sizleri bekliyor.Ziyaretçi Profili*Diyetisyenler ve Beslenme Uzmanları*Fizyoterapistler *Spor Hekimleri *Spor Eğitmenleri Sektörün Anahtar İsimleriTürkiye’de sağlıklı yaşam ve beslenme konusunda alanında uzman olan isimlerin konuşmacı olacağı oturumlar, paneller gerçekleşecektir. *HİS Federasyonu Başkanı Yasin Bölükbaşı*Üsküdar Belediye Başkanı Hilmi Türkmen*Acıbadem Üniversitesi Beslenme ve Diyetetik Bölümü( SBF)Dekanı Prof.Dr.Murat Baş*Tartı Medikal Kurucusu Uğur Taslak*FTR Uzmanı Uzm.Dr. Cavit Meclisi *Kök Hücre Fizik Tedavi ve Rehabilitasyon Uzmanı Uzm.Dr. Aşkın Nasırcılar *Miha Bodytec Genel Müdürü Muhittin Kocatepe*Milli Sporcu Batuhan Buğra Eruygun*Uzm.Dyt. İpek Ağaca *Dalış Rekortmeni Şahika Ercümen*Balanced Body Fakülte Üyesi ve PMA-CPT Taha Erpulat*Nişantaşı Üniversitesi Antrenörlük Bölüm Başkanı Yrd.Doç.Dr. Türker Bıyıklı*İstanbul Üniversitesi Moleküler Tı Anabilim Dalı Öğretim Üyesi Prof.Dr.Ümit Zeybek*Beslenme ve Diyetetik Bölümü Öğretim Üyesi Prof.Dr. Nevin Şanlıe*Cerrahpaşa Tı Fakültesi Fiziksel Tı ve Rehabilitasyon Anabilim Dalı Başkanı Prof.Dr. Şansın TüzünTürkiye’nin ilk ""Uluslararası Weight Management and Sports Physiotherapy Belgesi""Spor Endüstrisi öncülüğünde, Türkiye’nin ilk ‘’Weight Management and Sports Physiotherapy  Programı ‘’Sağlık , Spor ve Beslenme Uzmanlarına bilimselliği uygulamalarına entegre etmek için ve danışanlarının spoeslenmesi rolünü keşfetmelerini sağlamak, Fizyoterapistlerin ise sektörde oynadıkları rolü anlamalarını sağlamak için gerekli bilgileri geliştirmelerine yardımcı olur. Danışanlarınız için beslenme ve egzersiz arasındaki ilişki konusunda nasıl daha iyi sonuç alabileceğiniz konusunda becerilerinizi arttıracak temel bilgiler içermektedir. Spor, Beslenme ve Sağlık birbirinden ayrılmaz biütündür. Sektörde farkındalık yaratmak, yeni bir alanda uzmanlaşmak ve bir adım ileriye gitmek için önemli bir fırsat olan bu programı sizlerin geleceği ve kariyeri için oluşturulmuştur.Programa katılanlar dünyanın 56 ülkesinde geçerli ve Türkiye’nin ilk Uluslarası Weight Management and Sports Physiotherapy Eğitimi Sertifikasına sahip olacaktır. Belgelendirme Avrupa Mesleki Yeterlilik kurumunun bir parçaşı olan Europeactive’in Türkiye temsilciliğini sağlayan TrepsTurkish Register of Exercise Professionals) tarafından yapılacaktır. Adaylar merkezi Avrupa veri tabanına dayanan Pan-Avrupa sistemi onaylı belge alacaklardır. Bu sistem Avrupa Mesleki Yeterlilik kurumu tarafından onaylı bir Weight Management and Wellness Coaching Katılım belgesine sahip olmanız ve öngörülen minimum iyi uygulama standartlarını yerine getirdiğiniz anlamına gelmektedir. Programa katılan adaylar örnekteknz www.sporendustrisi.org) görünen katılım belgesine sahip olacaklardır.Neler Öğreneceksiniz?*Spor Bilimlerinin diğer sağlık meslek gruplarının heiri ile olan ilişkisi ve oynadığı rolü *Spor Beslenmesinin a dan z ye bilimsel temellerini ve fizyolojiyi gerçek hayatta danışanlarınıza nasıl uygulayacağınızı , *Kas İskelet sakatlıklarında tedavi yöntemleri ve aşamalarını*Profesyonel sporcular ile çalışma yöntemlerini."," 12 Mayıs 2018, Cumartesi - 9:30",,Family & Education," Grand Pera Cercle D’Orient , İstanbul"
"
Bergama'da Zeytinyağı Tarihi ve Sabun Üretimi
","Bergama'da Zeytinyağı Tarihi ve Sabun Üretimi etkinliği Bergama Ticaret Odası'nda gerçekleşecek.Bergama Lisesi mezunu bianka emeklisi, son 20 yıldır doğduğu Bergama'nın tarihi ürünü zeytin ve zeytinyağı üzerine çalışıyor. Onun bilinmesi tanınması için adeta mücadele ediyor. Aynı zamanda Bergama tarihi üzerine araştırma yazıları da olan Emin Urgun zeytin yağı ve sabun üzerine bir atölye çalışması gerçekleştirecek ve bu bin yıllık birikimi katılımcılarla paylaşacak."," 12 Mayıs 2018, Cumartesi - 9:30",,Hobbies," Bergama Ticaret Odası H.Şentürk, İzmir"
"
MSA - Naked Cake
","Naked cake yapımını en ince ayrıntılarıyla öğrenmek için siz de MSA mutfağındaki yerinizi ayırtın.""Pastaya dair tüm bildiklerinizi unutun. Ve şimdi sadece pandiyaya odaklanın. Kimden mi bahsediyoruz? Tabii ki, özel günlerin yeni fenomeni Naked Cake’den. Pandiya yapımından ganaj sıvamaya Naked Cake’i en ince ayrıntılarıyla öğreneceğiniz bu eğitimde, yalın ve şık olmanın baştan çıkarıcılığına davetlisiniz.""Bademli kakaolu cake, beyaz çikolatalı pastacı kreması, bitter çikolatalı swiss butter creamLimonlu pound cake, lemon curd, beyaz çikolata ganaj frosting10.00-15.00"," 12 Mayıs 2018, Cumartesi - 10:00",,Family & Education," Mutfak Sanatları Akademisi, İstanbul"
"
Genç Şefler: Makaron (10-15 yaş)
",Miniklerin ellerinden Fransa’nın meşhur lezzeti makaronu deneyimleyin. Çocuğunuz ile eğlenceli dakikalar geçireceğiniz bu atölyede yerinizi ayırtın.Vişneli macaron vişneli ganaj ileMavi renkli macaron çikolatalı ganaj ileYeşil macaron fıstıklı ganaj ile10:00 – 13:00," 12 Mayıs 2018, Cumartesi - 10:00",,Hobbies," İntema Yaşam Akademi, İstanbul"
"
Dialogue İn The Dark İstanbul
","Önemli Uyarı: Etkinlik başlamadan 15 dakika önce mekanda bulunmanız gerekmektedir, etkinliğe geç kalmanız halinde biletleriniz geçersiz sayılacaktır.Dünya üzerinde 135 kentte 8 milyondan fazla insanın deneyimlediği ""Karanlıkta Diyalog Sergisi"", yeni dönemde de Turkcell Diyalog Müzesi’nde sizlerle...""Sıra dışı bir deneyim için 60 dakikanızı Karanlıkta Diyalog Sergisi'ne ayırın, hayatınızın deneyimini yaşayın.135 ülkede, 8 milyonu aşkın kişinin ziyaret ettiği ""Karanlıkta Diyalog Deneyimsel Sergi'si, sizi hiç görmediğiniz bir İstanbul'la tanıştıracak. Görme dışındaki tüm duyularınızı yeniden keşfedecek, hayatta neler kaçırdığınızı fark edeceksiniz.Karanlıkta Diyalog Sergisi sizi parkta dolaşmak, bir caddede karşıdan karşıya geçmek gibi günlük hayat deneyimlerine sokacak; ama tümüyle karanlıkta. Duyularınızı uyandırarak ve farkındalığınızı derinleştirerek...Görme engelli rehberler, dokunarak, koklayarak ve duyarak yeni ve farklı biiçimde görmenizi sağlayacak ve sizi unutulmaz bir yolculuğa çıkartacak. Dünya üzerinde 135 kentte 8 milyondan fazla kişiye ulaşmış Karanlıkta Diyalog Sergisi, İstanbul Social Enterprise tarafından Aralık 2013'te İstanbul'da kapılarını açtı. İstanbul Büyükşehir Belediyesi'nin ev sahipliğini yaptığı Karanlıkta Diyalog Sergisi, ziyaretçilerini Turkcell Diyalog Müzesi’nde ağırlamaya devam ediyor.""Bu eşsiz ve ilham verici deneyim, İstanbul'da üç yenilikçi formatla karşımıza çıkacak:Deneyimsel Sergi – Herkese AçıkÖğrenciler İçin Atölye Çalışmaları – Okullara Özelİş Dünyası İçin Atölye Çalışmaları – Şirketlere ÖzelSergiye Gelmeden Önce Ziyaretiniz İçin İpuçları:""Sergide geçirmek için ne kadar zaman ayırmalıyım?""Tüm ziyaretçilerden, biletlerinde mevcut olan sergi seans saatinden 15 dakika önce mekanda olmaları rica edilir. Ziyaretçileiehber tarafından karşılanacak ve sergiye girmek üzere hazırlanacaklardır. Deneyiminiz yaklaşık 60 dakika sürecektir.""Sergiye elektronik cihazlarla girmem mümkün mü?""Sergi tamamen karanlık bir ortamda gerçekleştiği için, ışık veren saat, cep telefonu, kamera gibi tüm elektronik cihazlar ve de yine karanlıkta parlayabilecek mücevher, fosforlu giyim ya da takının içeri sokulmasına izin verilmemektedir.""Işık veren ya da parlayan eşyalarımı sergi boyunca muhafaza edebileceğiniz güvenli bir yer mevcut mu?""Ziyaretçilere, hem yukarda belirtilmiş olan ışıklı/parlayan eşyalarını hem de deneyim boyunca taşımak zorunda kalmamaları için cüzdan, gözlük, çanta, çakmak ve tüm diğer kişisel eşyalarını koyabilecekleri kilitli bir dolap ücretsiz olarak tahsis edilecektir. Bununla birlikte ziyaretçilerin sergi alanına girmeden önce yanlarında bir miktaozuk para bulundurmaları tavsiye edilmektedir. (9. sınıf ve üzeri gruplar için geçerlidi""Çocuklarımı getirebilir miyim?""Sergi 9 yaşından büyük çocuklara tavsiye edilmektedir. Bireysel ziyaretlerde 12 yaşından küçük çocuklara bir yetişkinin eşlik etmesi gerekmektedir. Ancak, ailesinin ya da yasal vasinin rızası olduğu takdirde her yaş grubuna açıktır.""Sergiye tekerlekli iskemleyle girilebiliyor mu?""Sergiye tekerlekli iskemleyle katılmak durumunda olan ziyaretçiler, bilet aldıkları esnada satış temsilcisine durumu bildirmeleri halinde, sergi süresince kendilerine gereken yardım ve destek sağlanacaktır.Sergide elektrikli tekerlekli iskemleler kullanılamamaktadır ama mekanik tekerlekli iskemleleri sergi mekanında mevcuttur.""Peki ya sergi bitmeden çıkmak istersem?""Tüm sergi deneyiminiz boyunca güvenlik ve rahatınızı sağlamakla sorumlu rehberler size eşlik ediyor olacaklar. Ancak, yine de bitiminden önce sergiden ayrılmak isterseniz, kolayca ulaşabileceğiniz birçok çıkış noktası mevcut olacaktır.""Dışarıdan yiyecek içecekle girebiliyor muyuz?""Sergi alanına dışarıdan yiyecek içecekle girilememektedir.""Sergiye topuklu ayakkabılarımla katılabilir miyim?""Sergiye topuklu ayakkabıyla katılmanız kesinlikle tavsiye edilmez. Ziyaretçilere sergiye rahat ayakkabı ve giysilerle katılmaları önerilir.""Sergi süresince diğerleriyle konuşabiliyor muyuz?""Ziyaretçilerin, hayatlarının bu eşsiz deneyiminde konuşmaları, gülmeleri, keşfetmeleri, soru sormaları ve keyfini çıkarmaları yasak değil, aksine tavsiye edilmektedir.Deneyim süresiSergi deneyimi 60 dakikadır. Lütfen girişe hazırlık ve check-in için giriş saatinizden yaklaşık 15 dk önce mekanda olunuz.Karanlıkta İş Atölyeleri ile Karanlıkta Diyalog Sergisi aynı şey mi?Karanlıkta Diyalog İş Atölyeleri, Karanlıkta Diyalog konseptinin kurucusu, Psikoloji Profesörü Andreas Heinecke ve uzman ekibi tarafından bilimsel alt yapıya dayalı olarak geliştirildi ve bu atölyelerin deneyimsel sergiden farklı bir içeriği vardır. İş dünyasının üst ve orta düzey yöneticileri için tasarlanan bu atölyeler; tamamen karanlık bir ortamda (zifiri karanlık) görme engelli profesyonel eğitmenler ile birlikte iş dünyası deneyimi olan eğitmenler tarafından uygulanıyor. ‘’liderlik’’, ‘’zaman yönetimi’’, ‘’takım çalışması’’ gibi başlıklarda tamamen şirkete özel bir içeriği vardır. Detaylı bilgi için www.turkcelldiyalogmuzesi.com’la iletişime geçebilirsiniz.İndirimli Kategorisinden nasıl yararlanabiliyoruz?Tüm öğrenciler -geçerli kimliklerini göstermek suretiyle-, 65 yaş üstü ve engelli bireyler indirimli kategorisinden yararlanabilirler. Aynı şekilde Müze Kart + sahipleri de kartlarını ibraz etmek suretiyle indirimli kategorisinden yararlanabilirler.Sorumluluğun alıcıya ait olması ve sorumluluk reddiİstanbul Social Enterprise ve Turkcell Diyalog Müzesi; Karanlıkta Diyalog, Sessizlikte Diyalog ve Karanlıkta Futbol etkinliklerini kendi web sitesinde ve Biletix’te görüldüğü şekilde mevcut ve kullanıldığı haliyle sunmaktadır. İstanbul Social Enterprise ve Turkcell Diyalog Müzesi; bu sergilerin ziyaretçi tarafından deneyimlenmesinden ve kullanılmasından dolayı ne açıkça ne de zımnen hiçbir sorumluluk kabul etmemektedir. Bu sergilerin deneyimlenmesi ve kullanımıyla ilgili sorumluluğun yalnızca size ait olduğunu açıkça beyan edersiniz. Yasal olarak izin verildiği sürece İstanbul Social Enterprise ve Turkcell Diyalog Müzesi’nin açıkça veya zımnen bir garanti vermesi söz konusu değildir. Sergilerin deneyimlenmesinden ve kullanımından kaynaklanan hiçbir zarardan İstanbul Social Enterprise ve Turkcell Diyalog Müzesi sorumlu tutulamaz. Bahsi geçen sorumluluk reddi ve sınırlandırmaları, geçerli yasanın zımnen verilen garantiler için sorumluluk sınırlandırmasını veya belirli zararlar için sorumluluk reddini tanımaması halinde hükümsüzdür."," 12 Mayıs 2018, Cumartesi - 10:00",,Arts," Gayrettepe Metro İstasyonu, İstanbul"
"
Turkcell Diyalog Müzesi Sessizlikte Diyalog
","*Etkinlik başlamadan 15 dakika önce mekanda bulunmanız gerekmektedir, etkinliğe geç kalmanız halinde biletleriniz geçersiz sayılacaktır.Dünyada milyonlarca kişi tarafından ziyaret edilen Sessizlikte Diyalog sergisi, Turkcell Diyalog Müzesi’nde sizlerle...Sıra dışı bir deneyim için 60 dakikanızı Sessizlikte Diyalog Sergisi'ne ayırın, hayatınızın deneyimini yaşayın!Özel bir alana kurulmuş sergide işitme engelli rehberleriniz ile birlikte, tamamen sessiz bir ortamda sözsüz iletişimi keşfedeceksiniz. Empati kurma yeteneğiniz ile birlikte farkındalığınızın da artmasını sağlayacak bu sergi, hayatınız boyunca yaşabileceğiniz en olağanüstü deneyimlerden biri olacak! Özel bölümlerden oluşan sergide; yüz ifadelerinizi ve vücut dilinizi nasıl etkin kullanabileceğinizi, işitme dışındaki duyularınızla neleaşarabileceğinizi göreceksiniz. Zorlukları fırsata dönüştürme yeteneğiniz güçlenirken, kendiniz ve çevrenizle ilgili tüm önyargılarınızı sonsuza dek geride bırakacaksınız. Mutlaka deneyimlenmesi gerekenler listenizde yerini alacak Sessizlikte Diyalog sergisi ile hayata bakış açınız değişecek! Seans Bilgileri:* Seansların süresi 60 dakikadır.Sessizlikte Diyalog Sergisi, İstanbul Social Enterprise tarafından 29 Ocak 2016’da İstanbul'da kapılarını açtı. İstanbul Büyükşehir Belediyesi'nin ev sahipliğini yaptığı Sessizlikte Diyalog Sergisi, ziyaretçilerini Turkcell Diyalog Müzesi’nde ağırlamaya devam ediyor.Sorumluluğun alıcıya ait olması ve sorumluluk reddiİstanbul Social Enterprise ve Turkcell Diyalog Müzesi; Karanlıkta Diyalog, Sessizlikte Diyalog ve Karanlıkta Futbol etkinliklerini kendi web sitesinde ve Biletix’te görüldüğü şekilde mevcut ve kullanıldığı haliyle sunmaktadır. İstanbul Social Enterprise ve Turkcell Diyalog Müzesi; bu sergilerin ziyaretçi tarafından deneyimlenmesinden ve kullanılmasından dolayı ne açıkça ne de zımnen hiçbir sorumluluk kabul etmemektedir. Bu sergilerin deneyimlenmesi ve kullanımıyla ilgili sorumluluğun yalnızca size ait olduğunu açıkça beyan edersiniz. Yasal olarak izin verildiği sürece İstanbul Social Enterprise ve Turkcell Diyalog Müzesi’nin açıkça veya zımnen bir garanti vermesi söz konusu değildir. Sergilerin deneyimlenmesinden ve kullanımından kaynaklanan hiçbir zarardan İstanbul Social Enterprise ve Turkcell Diyalog Müzesi sorumlu tutulamaz. Bahsi geçen sorumluluk reddi ve sınırlandırmaları, geçerli yasanın zımnen verilen garantiler için sorumluluk sınırlandırmasını veya belirli zararlar için sorumluluk reddini tanımaması halinde hükümsüzdür."," 12 Mayıs 2018, Cumartesi - 10:30",,Arts," Gayrettepe Metro İstasyonu, İstanbul"
"
SuryaSoul Hayat Dansçıları
","SuryaSoul Hayat Dansçıları etkinliği Zorlu PSM - Atölye'de!Atölye, Zorlu PSM ve Human Art iş birliğiyle gerçekleşmektedir. Eğitmen: Gözde BaytanSuryaSoul; Sabine Zweig ile Philippe Beaufour tarafından oluşturulmuş bir dans disiplini. Tao, Yoga, Meditasyon, Martial Arts, Hindu gibi bir çok alanın harmanlanı müzikle birleştiği bu dans modeli, dünyanın bir çok yerinde ""Hayat Dansçıları"" adı altında dans eden, özgüuhlu, tutkulu ve ışık saçan bir topluluk oluşturmuştur.Caz, soul, funk, pop, gospel, klasik, rap, etnik gibi birçok müzik türünü içinde barındıran koreografili bir dans sistemidir ve tüm koreografiler, seçilen müzikler çakra anatomisini baz alarak hazırlanır. Böylece, 75dakikalık ders boyunca bedendeki 7 ana enerji noktası üzerinde çalışılmış olur. Zihinlerde kalıplaşmış ""dans"" ve bunun getirdiği ""görüntü kaygısı"" SuryaSoul ile birlikte bırakılır; hayal gücünü ve oyunu da dansa kattığımız yeni ve özgüir alana adım atılır! Bedeni rahatlatı özgürleştirmeyi, zihni esnetmeyi, eğlenebilmeyi ve kişinin içindeki güç merkezini uyandırmayı hedef alır. Gözde Baytan, SuryaSoul'un Türkiye'deki ilk ve şimdilik tek eğitmenidir. *Etkinliğe rahat kıyafetlerle gelinmesi önerilir. Atölye süresi: 1 saat 15 dakika 10:30 - 11:45Gözde Baytan kimdir?İstanbul Bilgi Universitesi Avrupa Birliği Çalışmaları’ndan mezun olduktan sonra bir süre reklam sektöründe çalışan Baytan, 2011 yılında yolunun Deepak Chopra’nın özel asistanlığını yapmış olan şifacı Ezgi Sorman ile kesişmesi ile farkındalık çalışmalarına ağırlık verdi. İçsel, algısal ve titreşimsel çalışmalara olan ilgisi onu Kamboçya, Mısır, Hindistan, Kapadokya, İtalya gibi Dünya'nın bir çok bölgesinde meditasyon ve şifacılık üzerine çalışmalara yönlendirdi. Hindistan'a yaptığı düzenli seyahatlerde dansın bedensel, mental ve titreşimsel gücünü fark etti ve hayatına dansı katmaya karar verdi. Lindy Hop, Forro gibi çeşitli partnerli dansları denedikten sonra, SuryaSoul ile tanıştı. Meditasyon, Yoga, Tao, Martial Arts gibi bir çok disiplini harmanlayı bir dans modeline dönüştürmüş olan ""SuryaSoul – Dance Of Life"" eğitimini tamamladı. Gözde Baytan ayrıca 2016 senesinde ""Denizkızı Olmak Çok Önemlidir"" adlı ilk kitabını yayınladı."," 12 Mayıs 2018, Cumartesi - 10:30",,Family & Education," Zorlu PSM, Sky Lounge, İstanbul"
"
Kapanış Konseri - İstanbul Flüt T.
","İstanbul Flüt Topluluğu, sezon kapanış konserinde renkli bir programla Pera Palace dinleyicisi ile buluşacak.Pera Palace Hotel'in 120 yılı aşkın tarihi boyunca unutulmaz balolara, konserlere ev sahipliği yapan, doğal akustiği ile İstanbul’un en özel salonlarından biri olan Grand Pera Balo Salonu, IDEA Müzik işbirliği ile 2017-2018 konser sezonunda da birbirinden güzel konserlere ev sahipliği yapıyor.Ülkemizin değerli sanatçılarından Ayla Uludere, Ece Karşal ve Şebnem Uşen tarafından 2015 yılında kurulan ve ülkemizin saygın üniversitelerinde yer alan flüt sanatçılarından oluşan bu özel topluluk, flüt ailesinin piccolo, alto, bass ve kontrbas çeşitleri ile Pera Palace dinleyicisine ırıl ırıl ve neşeli bir yaz müjdesi verecek. Barok dönemden çağdaş Türk bestecilerine uzanan geniş biepertuvara sahip olan ve 2018’de Washington Uluslararası Flüt Festivali’nde ülkemizi temsil edecek olan İstanbul Flüt Topluluğu, sezon kapanış konserinde renkli bir programla Pera Palace dinleyicisi ile buluşacak.Kombine bilet sahipleri, Pera Palace Hotel tarafından sunulacak olan ayrıcalıklı kart ile, yıl boyunca tüm otel konaklamalarında, restoran ve bar harcamalarında %15 indirimden faydalanabilecek. Cumartesi Sabah Konserleri’ne katılan tüm misafirler, konsere katıldıkları gün için Agatha Restaurant’ta servis edilen açık büfe kahvaltıdan ve öğle yemeğinden biletlerini göstererek %15 indirim sağlayabilecek.IKSV Lale Kart üyeleri, Pera Palace Cumartesi Sabah Konserleri için üyesi oldukları Lale Kart indirimlerinden yararlanabilecek.Konserler arasız olarak ve yaklaşık 1 saat sürecektir. *Detaylı bilgi için 0212 377 40 00’ı arayabilirsiniz."," 12 Mayıs 2018, Cumartesi - 11:00",,Music," Pera Palace Hotel , İstanbul"
"
Ben Bir Sanat Eseriyim(6-12 YAŞ)
","Ben Bir Sanat Eseriyim workshop'u, Akbank Sanat'ta sizlerle...""Tablonun bir içindeyim, bir dışındayım"" Çocuklarımıza, dünyaca ünlü ressamların meşhur eserlerini eğlenceli bir yolla tanıtıyoruz. Çeşitli oyunlarla renklendirdiğimiz atölyemizde, ünlü tablolardan bir tanesini seçerek, canlandırmasını yapıyoruz."""," 12 Mayıs 2018, Cumartesi - 11:00",,Hobbies," Akbank Sanat, İstanbul"
"
Anneler Günü’ne Özel
","Bu sene annenize farklı bir hediye vermek isterseniz, USLA mutfağında gerçekleşecek workshop etkinliğinde yerinizi alın.Annelerimiz ile birlikte keyifli  ve lezzetli bir gün geçirmenin mutluluğunu Anneler Günü’ne özel hazırladığımız bu workshopta anneniz ile  katılarak gerçekleştirin ve anılarınıza bir gün daha ekleyin.Mozaik pastaMuzlu rulo pastaTavuklu mantarlı gül börek11:00-15:00"," 12 Mayıs 2018, Cumartesi - 11:00",,Family & Education," USLA , İstanbul"
"
Google AdWords Eğitimi
","Google AdWords Eğitimi ile Google reklamlarında uzmanlaşın!Markanız için internet pazarlamasının en önemli araçlarından olan Google AdWords Sertifika programı ile kullanım alanları, zengin içeriği ve geri dönüşüm sonuçları detaylarının anlatılacağı bu eşsiz eğitimi kaçırmayın.Alanında uzman MooF Dijital Kurucusu Yasin Kaplan tarafından verilecek Google AdWords eğitimi ile kampanyalarınızdan en yüksek verimi alacaksınız!Eğitim İçeriğiEğitimin Konu Başlıkları•Google AdWords’e Giriş •Google AdWords Temel Politikaları •Google AdWords Reklamları oluşturma •Google Network’ünü Anlama •Google Reklam Biçimleri •Teklif Verme Biçimleri •Hesap Oluşturma •Hesap Düzenleme, Anahtar Kelimeler, Reklam Metni seçimi •Reklam Metni Oluşturma •Metin Yazım ve Uygulama •Anahtar Kelime Listesi Oluşturma •Anahtar Kelime Oluşturma ve Uygulama •Arama Ağına Giriş •İçerik Ağına Giriş •Reklam Dağıtımı •Dil ve Yer Hedefleme •Anahtar Kelime Hedefleme •Maliyet Kontrolü •Faturalama•Reklam Performansını İzlemek •Kalite Puanı Kavramı •Temel Optimizasyon Teknikleri•Anahtar Kelime Optimizasyon Teknikleri •Reklam Metni Optimizasyon Teknikleri •Strateji Oluşturma •Google’da Etkin Optimizasyon yöntemleri•Görüntülü Reklam Ağı Kurulum ve Optimizasyon •Raporlama •Soru-Cevap Bölümü Bu Eğitim Katılımcıya Neler Katar?Google AdWords Eğitimi ile Google reklamcılığı geniş kapsamlı bir şekilde ele alınarak, bir AdWords kampanyasının nasıl oluşturulacağı, yönetileceği ve nasıl optimize edileceği katılımcılara aktarılmış olacaktır.1.Piyasada nadiulunan bir SEM uzmanı olma şansını yakalayacaksınız.2.Bireysel olarak AdWords kampanyaları yönetebilmek için gerekli olan bilgi ve donanıma sahip olacaksınız.Google AdWords Eğitimine Kimler Katılmalıdır?•İşletme sahipleri ve/veya ortakları•İşletmelerin/Markaların Reklam ve Halkla İlişkiler yetkilileri/sorumluları•İşletmelerin/Markaların Pazarlama yetkilileri/sorumluları•Kendi işini kurmak isteyenler veveya kendisini bu alanda yetiştirmek isteyen herkes•Bir şirkette SEM yöneticisi olmak isteyen,•Bir dijital ajansta çalışmak isteyen•Kariyerine yepyeni bir ufuk açmak isteyen kişile•Kendi işletmesinin reklam çalışmasını yürütmek isteyen kişiler katılabilir.Gerekli Ön Bilgiler Nelerdir, Herkes Katılabilir Mi?Google AdWords Eğitimine katılmak için temel seviye bilgisayailgisine sahip olmanız yeterlidir. Eğitim tüm katılımcılara açıktır.Eğitim Konseptinde Neler Yeni?◆ Güncellenmiş yeni eğitim içeriği,◆ Yeni AdWords arayüzü,◆ Aktif hesaplar üzerinden örnek vaka analizleri,◆ Özelleştirilmiş ders içeriği.Eğitim Bedeline Neler Dahil?✔ İngilizce – Türkçe KATILIM SERTİFİKASI✔ Promosyon ve İndirimle✔ 7/24 Ücretsiz Telefon/E-posta Desteği✔ Eğitim materyalleri✔ Alanında Uzman Eğitmenlerden alınacak teorik ve uygulamalı eğitim✔ Otel Konforunda Eğitim✔ Sıcak, Soğuk İçecekler ve İkramla"," 12 Mayıs 2018, Cumartesi - 11:00",,Family & Education," Koç Üniversitesi Girişimcilik, İstanbul"
"
Dans, Hareket ve Doğaçlama Atölyesi
","Dans, Hareket ve Doğaçlama Atölyesi, Athena Pansiyon'da gerçekleşecek.Bu atölyede çeşitli yönergeler aracılığıyla duyusal, duygusal ve fiziksel olasılıkların doğaçlama yoluyla keşfedilmesini araştırılıyor. Skorlar ve pratiklerle, belirli bir dans yada hareket stiline bürünmeden katılımcı kendi dansını araştıracak. Kendi fiziksel dinamiklerini, duyumsama ve algılama eğilimlerini keşfedecek. Atölye beden ve hareket üzerine çalışmış ya da bu konuda çalışmak isteyen katılımcılara açıktır.Not: Atölye açık havada olacağından ve bolca hareket edileceğinden kısa - uzun kollu rahat bir kıyafet ve ayakkabı  getirmeniz  iyi olur. Atölye sonrası terli kalmamak adına yedek kıyafet bulundurmanızda fayda var."," 12 Mayıs 2018, Cumartesi - 11:00",,Hobbies," Athena Pansiyon, İzmir"
"
Popart
","Pop Art Atölyesi, Artim Projects'de sizlerle....""Farklı pop art ikonlarını tuvale aktarıyoruz. Daha önce resim yapmamış olsanızda, hem boyama teknikleri öğrenecek, hem de bu sanat hakkında bilgi edineceksiniz.""*Etkinlik 3 saat sürecektir. *40×60 cm boyutunda tuvallere workshop katılımcılarının seçtiği pop art ikonlarının görselleri aktarılacaktır. *Atölye sonunda yaptığınız çalışmaları ister sevdiklerinize hediye edebilir, isterseniz kendiniz duvarınıza asabilirsiniz."," 12 Mayıs 2018, Cumartesi - 12:00",,Hobbies," Artimprojects, İzmir"
"
Rengarenk - Colorful
","Rengarenk - Colorful atölyesi şimdi ArtimProjects de...""Bu atölyede Rengarenk - Colorful adlı eseri tuvale aktaracaksınız. Daha önce hiç resim yapmamış hatta fırça bile tutmamış olabilirsiniz. Gelin bu ilk deneyimin keyfini hep birlikte çıkaralım.Ayrıca atölyede ki etkinlik süresi boyunca deneyebileceğiniz farklı tatlar sizleri bekliyor olacak."" - Etkinlik 3 saat sürecektir. - 35x50 cm boyutunda tuvallere workshop katılımcılarının seçtiği art nouveau görselleri aktarılacaktır. - Atölye sonunda yaptığınız çalışmaları ister sevdiklerinize hediye edebilir, isterseniz kendiniz duvarınıza asabilirsiniz. - Kullanacağınız tüm malzemeler Artimprojects tarafından temin edilecektir."," 12 Mayıs 2018, Cumartesi - 12:00",,Hobbies," Artimprojects, İzmir"
